Area,MTU,Fossil Gas  - Actual Aggregated [MW],Hydro Water Reservoir  - Actual Aggregated [MW],Nuclear  - Actual Aggregated [MW],Other  - Actual Aggregated [MW],Solar  - Actual Aggregated [MW],Wind Onshore  - Actual Aggregated [MW]
BZN|SE3,07.01.2022 02:00 - 07.01.2022 03:00 (CET/CEST),0,967,5564,943,0,591
BZN|SE3,07.01.2022 03:00 - 07.01.2022 04:00 (CET/CEST),0,951,5555,928,0,526
BZN|SE3,07.01.2022 04:00 - 07.01.2022 05:00 (CET/CEST),0,1013,5556,926,0,487
BZN|SE3,07.01.2022 05:00 - 07.01.2022 06:00 (CET/CEST),0,1040,5563,958,0,482
BZN|SE3,07.01.2022 06:00 - 07.01.2022 07:00 (CET/CEST),0,1357,5586,1093,0,525
BZN|SE3,07.01.2022 07:00 - 07.01.2022 08:00 (CET/CEST),0,1476,5586,1151,0,600
BZN|SE3,07.01.2022 08:00 - 07.01.2022 09:00 (CET/CEST),0,1538,5587,1204,0,721
BZN|SE3,07.01.2022 09:00 - 07.01.2022 10:00 (CET/CEST),0,1562,5595,1187,1,825
BZN|SE3,07.01.2022 10:00 - 07.01.2022 11:00 (CET/CEST),0,1577,5617,1165,3,901
BZN|SE3,07.01.2022 11:00 - 07.01.2022 12:00 (CET/CEST),0,1580,5617,1155,6,924
BZN|SE3,07.01.2022 12:00 - 07.01.2022 13:00 (CET/CEST),0,1580,5616,1151,5,937
BZN|SE3,07.01.2022 13:00 - 07.01.2022 14:00 (CET/CEST),0,1576,5624,1162,3,964
BZN|SE3,07.01.2022 14:00 - 07.01.2022 15:00 (CET/CEST),0,1576,5645,1168,1,979
BZN|SE3,07.01.2022 15:00 - 07.01.2022 16:00 (CET/CEST),0,1577,5645,1187,0,1004
BZN|SE3,07.01.2022 16:00 - 07.01.2022 17:00 (CET/CEST),0,1601,5647,1192,0,1008
BZN|SE3,07.01.2022 17:00 - 07.01.2022 18:00 (CET/CEST),0,1604,5655,1194,0,1008
BZN|SE3,07.01.2022 18:00 - 07.01.2022 19:00 (CET/CEST),0,1603,5678,1192,0,980
BZN|SE3,07.01.2022 19:00 - 07.01.2022 20:00 (CET/CEST),0,1567,5678,1198,0,976
BZN|SE3,07.01.2022 20:00 - 07.01.2022 21:00 (CET/CEST),0,1501,5678,1210,0,952
BZN|SE3,07.01.2022 21:00 - 07.01.2022 22:00 (CET/CEST),0,1316,5686,1204,0,920
BZN|SE3,07.01.2022 22:00 - 07.01.2022 23:00 (CET/CEST),0,1275,5709,1195,0,881
BZN|SE3,07.01.2022 23:00 - 08.01.2022 00:00 (CET/CEST),0,1216,5708,1192,0,840
BZN|SE3,08.01.2022 00:00 - 08.01.2022 01:00 (CET/CEST),0,1195,5708,1136,0,790
BZN|SE3,08.01.2022 01:00 - 08.01.2022 02:00 (CET/CEST),0,1186,5714,1140,0,748
BZN|SE3,08.01.2022 02:00 - 08.01.2022 03:00 (CET/CEST),0,1182,5735,1139,0,739
BZN|SE3,08.01.2022 03:00 - 08.01.2022 04:00 (CET/CEST),0,1186,5705,1131,0,697
BZN|SE3,08.01.2022 04:00 - 08.01.2022 05:00 (CET/CEST),0,1188,5704,1121,0,662
